"line","order","stop_street","next_cross_street","landmark","shelter","sign","flag"
"Red Line North",102,"Broadway","Dobbs","Hogg Middle School",,TRUE,
"Red Line North",103,"Broadway","Charnwood","Jones Hearing (Doctor Office)",,TRUE,
"Red Line North",104,"Broadway","Houston","United Healthcare",,TRUE,
"Red Line North",106,"Broadway","Elm","Across from Library",,TRUE,
"Red Line North",107,"Broadway","Ferguson","Regions Bank",,TRUE,
"Red Line North",108,"Broadway","Bow","Salvation Army",TRUE,TRUE,
"Red Line North",109,"Broadway","Queen","Roberts Juvenile Building",,TRUE,
"Red Line North",110,"Broadway","Cedar",,,TRUE,
"Red Line North",111,"Broadway","Franklin",,,TRUE,
"Red Line North",112,"Broadway","MLK","Iglesia Church",,TRUE,
"Red Line North",113,"Broadway","Barrett","Christian Teaching",,TRUE,
"Red Line North",114,"Broadway","26th","Liberty Arms/Apt",TRUE,TRUE,
"Red Line North",115,"32nd",,"Boys and Girls / Glass Center",TRUE,TRUE,
"Red Line North",116,"32nd","Glass Ave","Woldert Park",,TRUE,
"Red Line North",117,"32nd","Grande Ave","Before intersection",,TRUE,
"Red Line North",118,"Grand","31st",,,TRUE,
"Red Line North",119,"Grand","30th",,,TRUE,
"Red Line North",120,"Grand",,"Grand Manor",,TRUE,
"Red Line North",121,"Grand",,"Texas College",TRUE,TRUE,
"Red Line North",122,"Grand","Barrett",,,TRUE,
"Red Line North",123,"MLK","Ross",,,TRUE,
"Red Line North",124,"MLK","Englewood",,,TRUE,
"Red Line North",125,"MLK","Hill",,,TRUE,
"Red Line North",126,"Glenwood","Nancy",,,TRUE,
"Red Line North",127,"Glenwood","Harming","Dr. Pepper Company",,TRUE,
"Red Line North",128,"Glenwood","Gentry","Hickory Fair",,,TRUE
"Red Line North",129,"Gentry","Meadow","Labor Ready",,TRUE,
"Red Line North",130,"Gentry","Bow and Ross","Exxon",,TRUE,
"Red Line North",131,"Gentry","Palace","Neighborhood Services",TRUE,TRUE,
"Red Line North",132,"Gentry","Harris","Building Blocks Day Care",,TRUE,
"Red Line North",133,"Gentry","Bois D'Arc","Bumper to Bumper Auto Pars",,TRUE,
"Red Line North",134,"Broadway","Bow","Catholic Church",,TRUE,
"Red Line North",135,"Broadway","Ferguson","KLTV",TRUE,TRUE,
"Red Line North",136,"Broadway","Elm","Expert Tire",,TRUE,
"Red Line North",137,"Broadway","Front","Catholic Church",TRUE,TRUE,
"Red Line North",138,"Houston","Spring","Birdsong and Armstrong",,TRUE,
"Red Line North",139,"Houston","Niblock","The Citadel Apartment",,TRUE,
"Red Line North",140,"Beckham","Houston","Subway across from TMF",,TRUE,
"Red Line North",141,"Beckham","Hospital Dr","Olympic Plaza",TRUE,TRUE,
"Red Line North",142,"Beckham","5th","Car Loan Place",,TRUE,
"Red Line South",201,"Broadway","Old Troup Hwy","Off Broadway Shopping Center",,TRUE,
"Red Line South",202,"Broadway","Wilma","Azalea Post Office",TRUE,TRUE,
"Red Line South",203,"Broadway","Fair Lane","Before intersection",,TRUE,
