"Roseland & 8th","Beckham & Gentry","Broadway & M.L. King","Golden & 5th","Roseland & 8th"
"6:00","6:10","6:15","6:20","6:28"
"7:00","7:10","7:15","7:20","7:35"
"8:20","8:30","8:35","8:40","8:55"
"9:40","9:50","9:55","10:00","10:15"
"11:00","11:10","11:15","11:20","11:35"
"12:20","12:30","12:35","12:40","12:55"
"1:40","1:50","1:55","2:00","2:15"
"3:00","3:10","3:15","3:20","3:35"
"4:20","4:30","4:35","4:40","4:55"
"5:40","5:50","5:55","6:00","6:10"
"6:45","6:53","6:58","7:03","7:12"
"7:45","7:53","7:58","8:03","8:12"
