"Roseland & 8th","Old Bullard & Loop 323","Grande & Hollytree","Towne Park & Loop 323","Roseland & 8th"
"6:00","6:08","6:13","6:23","6:28"
"7:00","7:08","7:13","7:24","7:35"
"8:20","8:28","8:33","8:43","8:55"
"9:40","9:48","9:53","10:02","10:15"
"11:00","11:08","11:13","11:23","11:35"
"12:20","12:28","12:33","12:34","12:55"
"1:40","1:48","1:53","2:03","2:15"
"3:00","3:08","3:13","3:22","3:35"
"4:20","4:28","4:33","4:36","4:55"
"5:40","5:40","5:45","5:55","6:10"
"6:45","6:53","6:58","7:08","7:12"
"7:45","7:53","7:58","8:08","8:12"
