Roseland & 8th,5th & Loop 323,Spur 248 & Old Omen Rd,Spur 248 & U.T. Tyler,Roseland & 8th
6:30 AM,6:38 AM,6:42 AM,6:48 AM,6:55 AM
7:40 AM,7:48 AM,7:52 AM,8:00 AM,8:15 AM
9:00 AM,9:08 AM,9:12 AM,9:20 AM,9:35 AM
10:20 AM,10:28 AM,10:32 AM,10:40 AM,10:55 AM
11:40 AM,11:48 AM,11:52 AM,12:00 PM,12:15 PM
1:00 PM,1:08 PM,1:12 PM,1:20 PM,1:35 PM
2:20 PM,2:28 PM,2:32 PM,2:40 PM,2:55 PM
3:40 PM,3:48 PM,3:52 PM,4:00 PM,4:15 PM
5:00 PM,5:08 PM,5:12 PM,5:20 PM,5:35 PM
6:15 PM,6:22 PM,6:28 PM,6:40 PM,6:44 PM
7:15 PM,7:22 PM,7:28 PM,7:40 PM,7:44 PM
