Roseland & 8th,Troup Hwy & Loop 323,Shiloh & Paluxy,Troup Hwy & Loop 323,Roseland & 8th
6:30 AM,6:35 AM,6:44 AM,6:49 AM,6:55 AM
7:40 AM,7:47 AM,7:55 AM,8:00 AM,8:15 AM
9:00 AM,9:07 AM,9:15 AM,9:20 AM,9:35 AM
10:20 AM,10:27 AM,10:35 AM,10:40 AM,10:55 AM
11:40 AM,11:47 AM,11:55 AM,12:00 PM,12:15 PM
1:00 PM,1:07 PM,1:15 PM,1:20 PM,1:35 PM
2:20 PM,2:27 PM,2:35 PM,2:40 PM,2:55 PM
3:40 PM,3:47 PM,3:55 PM,4:00 PM,4:15 PM
5:00 PM,5:07 PM,5:15 PM,5:20 PM,5:30 PM
6:15 PM,6:20 PM,6:29 PM,6:39 PM,6:42 PM
7:15 PM,7:20 PM,7:29 PM,7:39 PM,7:42 PM
