Roseland & 8th,Old Bullard & Loop 323,Grande & Hollytree,Towne Park & Loop 323,Roseland & 8th
6:00 AM,6:08 AM,6:13 AM,6:23 AM,6:28 AM
7:00 AM,7:08 AM,7:13 AM,7:24 AM,7:35 AM
8:20 AM,8:28 AM,8:33 AM,8:43 AM,8:55 AM
9:40 AM,9:48 AM,9:53 AM,10:02 AM,10:15 AM
11:00 AM,11:08 AM,11:13 AM,11:23 AM,11:35 AM
12:20 PM,12:28 PM,12:33 PM,12:34 PM,12:55 PM
1:40 PM,1:48 PM,1:53 PM,2:03 PM,2:15 PM
3:00 PM,3:08 PM,3:13 PM,3:22 PM,3:35 PM
4:20 PM,4:28 PM,4:33 PM,4:36 PM,4:55 PM
5:40 PM,5:40 PM,5:45 PM,5:55 PM,6:10 PM
6:45 PM,6:53 PM,6:58 PM,7:08 PM,7:12 PM
7:45 PM,7:53 PM,7:58 PM,8:08 PM,8:12 PM
