order,line,direction,name,block,street,landmark,marker,latitude,longitude,estimated_location,transfer_to,weekday_schedule,saturday_schedule,has_official_times,notes
100,Red,North,1900 E 9th St,1900,E 9th St,Bergfield Center,Shelter,32.3266270764,-95.2985892063,,All Lines,"6:00,6:30,7:00,7:40,8:20,9:00,9:40,10:20,11:00,11:40,12:20,13:00,13:40,14:20,15:00,15:40,16:20,17:00,17:40,18:15,18:45,19:15,19:45",,TRUE,
101,Red,North,1400 S Broadway Ave,1400,S Broadway Ave,,Sign,32.3338269695,-95.3006051413,,,"6:01,6:30,7:01,7:40,8:21,9:00,9:41,10:20,11:01,11:40,12:21,13:00,13:41,14:20,15:01,15:40,16:21,17:00,17:41,18:15,18:45,19:15,19:45",,,
102,Red,North,900 S Broadway Ave,900,S Broadway Ave,Hogg Middle School,Sign,32.3382598259,-95.3005838773,,,"6:02,6:31,7:02,7:41,8:22,9:01,9:42,10:21,11:02,11:41,12:22,13:01,13:42,14:21,15:02,15:41,16:22,17:01,17:42,18:16,18:46,19:16,19:46",,,
103,Red,North,700 S Broadway Ave,700,S Broadway Ave,Jones Hearing (Doctor Office),Sign,32.3427834787,-95.3005510505,,,"6:03,6:31,7:03,7:41,8:23,9:01,9:43,10:21,11:03,11:41,12:23,13:01,13:43,14:21,15:03,15:41,16:23,17:01,17:43,18:16,18:47,19:16,19:46",,,
104,Red,North,500 S Broadway Ave,500,S Broadway Ave,United Healthcare,Sign,32.3444570971,-95.3005577366,,,"6:04,6:32,7:05,7:42,8:25,9:02,9:45,10:22,11:05,11:42,12:25,13:02,13:45,14:22,15:05,15:42,16:25,17:02,17:45,18:17,18:48,19:17,19:47",,,
105,Red,North,400 S Broadway Ave,400,S Broadway Ave,,Sign,32.3457098402,-95.3005508433,,,"6:05,6:33,7:06,7:43,8:26,9:03,9:46,10:23,11:06,11:43,12:26,13:03,13:46,14:23,15:06,15:43,16:26,17:03,17:46,18:18,18:49,19:18,19:48",,,
106,Red,North,200 S Broadway Ave,200,S Broadway Ave,Across from Library,Sign,32.3489105588,-95.3005478089,,,"6:06,6:33,7:07,7:43,8:27,9:03,9:47,10:23,11:07,11:43,12:27,13:03,13:47,14:23,15:07,15:43,16:27,17:03,17:47,18:18,18:50,19:18,19:48",,,
107,Red,North,200 N Broadway Ave,200,N Broadway Ave,Regions Bank,Sign,32.352229213,-95.3005513738,,,"6:07,6:34,7:08,7:44,8:28,9:04,9:48,10:24,11:08,11:44,12:28,13:04,13:48,14:24,15:08,15:44,16:28,17:04,17:48,18:19,18:51,19:19,19:49",,,
108,Red,North,700 N Broadway Ave,700,N Broadway Ave,"Salvation Army, Northeast Texas Public Health District, Tyler City Municipal Courts",Shelter,32.3575414341,-95.3006203082,,Green Line Northeast,"6:09,6:35,7:10,7:45,8:30,9:05,9:50,10:25,11:10,11:45,12:30,13:05,13:50,14:25,15:10,15:45,16:30,17:05,17:50,18:20,18:52,19:20,19:50",,TRUE,Using times for “Broadway and Gentry”
109,Red,North,1000 N Broadway Ave,1000,N Broadway Ave,Roberts Juvenile Building,Sign,32.3611174614,-95.301488716,,,"6:09,6:35,7:10,7:45,8:30,9:05,9:50,10:25,11:10,11:45,12:30,13:05,13:50,14:25,15:10,15:45,16:30,17:05,17:50,18:20,18:52,19:20,19:50",,,
